0, 90.6
10, 87.4
20, 83.1
30, 80.9
40, 79.6
50, 78.9
60, 78.5
70, 77.9
80, 77.7
90, 77.4
100, 77.2
110, 77.0
120, 77.2
130, 76.8
140, 76.6
150, 76.4
160, 76.6
170, 76.6
180, 76.2
190, 76.5
200, 75.9
210, 75.8
220, 75.5
230, 75.8
240, 75.2
260, 71.8
280, 71.6
300, 71.2
320, 70.3
340, 69.8
360, 69.3
380, 69.0
400, 68.9
420, 68.1
440, 67.9
460, 66.9
480, 66.7
500, 66.1
520, 65.7
540, 65.6
560, 65.3
580, 64.6
600, 64.1
620, 64.0
640, 63.4
660, 63.0
680, 62.9
700, 62.4
720, 62.0
740, 61.5
760, 61.4
780, 61.2
800, 60.7
820, 60.6
840, 60.0
860, 59.8
880, 59.4
900, 59.2
920, 59.2
940, 58.6
960, 58.3
980, 58.0
1000, 57.6
1020, 57.3
1040, 57.1
1060, 56.9
1080, 56.6
1100, 56.2
1120, 56.0
1140, 55.8
1160, 55.6
1180, 55.2
1200, 55.0
1220, 54.8
1240, 54.5
1260, 54.4

